9.9999999999999998e-13,2,0,0.99999999999999922
9.9999999999999998e-13,20,0,0.99999999999999856
9.9999999999999998e-13,2,4,-6.4822904195838709e-16
9.9999999999999998e-13,2,1,-1.4215577789146974e-14
9.9999999999999998e-13,2,1,-1.4215577769759745e-14
9.9999999999999998e-13,2,2,-6.0878944928228516e-16
9.9999999999999998e-13,2,3,-0.0029120110903337005
9.9999999999999998e-13,2,3,-0.0029120110903337005
9.9999999999999998e-13,2,4,-1.0552263658947784e-15
9.9999999999999998e-13,20,4,-3.6673294473428653e-14
9.9999999999999998e-13,20,4,-7.7609842787710284e-16
9.9999999999999998e-13,2,4,-1.800590211577768e-16
