1,10,0,0.00125
1,10,0.049999000000000002,1.0000000000010001e-06
1,200,0,6.2500000000000001e-05
1,200,0.049999000000000002,1.0000000000010001e-06
2,10,0,4.3402777777777779e-05
2,10,0.99999899999999997,1.0000000000287557e-06
2,200,0,1.953125e-05
2,200,0.99999899999999997,1.0000000000287557e-06
3,10,0,4.8828125000000003e-05
3,10,0.99999899999999997,1.0000000000287557e-06
3,200,0,9.7656250000000002e-06
3,200,0.99999899999999997,1.0000000000287557e-06
4,10,0,9.7656250000000005e-05
4,10,0.99999899999999997,1.0000000000287557e-06
4,200,0,1.953125e-05
4,200,0.99999899999999997,1.0000000000287557e-06
5,10,0,0.00078125000000000004
5,10,0.99999899999999997,1.0000000000287557e-06
5,200,0,3.9062500000000001e-05
5,200,0.99999899999999997,1.0000000000287557e-06
