0,6.2831853071795862,0,0,0,12.566370614359172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.732395447351625,0,6.2831853071795862,0,0,-0,12.566370614359172,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,0,0,0,0,0,0
0,0,0,6.2831853071795862,0,0,-0,12.566370614359172,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0
38.19718634205487,0,0,0,6.2831853071795862,0,0,-0,12.566370614359172,0,0,0,0,0,0,0,0,0,0,0,0,0,-120,0,0,0,0,0,0,0
0,-37.699111843077517,0,43.982297150257104,0,-37.699111843077517,0,75.398223686155035,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-160,0,0,0,0,0,0
25.464790894703249,0,0,0,0,0,6.2831853071795862,0,0,12.566370614359172,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6.2831853071795862,0,-0,12.566370614359172,0,0,0,0,0,0,40,0,0,0,0,0,0,-40,0,0,0,0,0
25.464790894703249,0,0,0,0,0,0,0,6.2831853071795862,0,-0,12.566370614359172,0,0,0,0,0,0,40,0,0,0,0,0,0,-80,0,0,0,0
0,-37.699111843077517,0,12.566370614359172,0,-18.849555921538759,0,37.699111843077517,0,0,37.699111843077517,-0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,-120,0,0,0
0,0,0,0,0,0,0,0,0,0,6.2831853071795862,0,12.566370614359172,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
12.732395447351625,0,0,0,0,0,0,0,0,0,0,6.2831853071795862,-0,12.566370614359172,0,0,0,0,0,0,0,0,80,0,0,0,0,-40,0,0
0,-18.849555921538759,0,6.2831853071795862,0,-37.699111843077517,0,37.699111843077517,0,0,18.849555921538759,0,12.566370614359172,-0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,-80,0
76.39437268410974,0,0,0,0,0,0,0,0,0,0,0,0,6.2831853071795862,12.566370614359172,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0
0,-37.699111843077517,0,0,0,-18.849555921538759,0,18.849555921538759,0,0,75.398223686155035,0,6.2831853071795862,0,-0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,-40
0,-18.849555921538759,0,0,0,-75.398223686155035,0,0,0,0,37.699111843077517,0,87.964594300514207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0
